2026-07-09 09:18:03 | ERROR    | app.services.equipment_config:get_config:37 | 读取设备配置失败，使用默认配置: Expecting value: line 1 column 1 (char 0)
2026-07-09 09:18:03 | ERROR    | app.services.equipment_config:get_config:37 | 读取设备配置失败，使用默认配置: Expecting value: line 1 column 1 (char 0)
2026-07-09 09:18:03 | ERROR    | app.services.equipment_config:get_config:37 | 读取设备配置失败，使用默认配置: Expecting value: line 1 column 1 (char 0)
2026-07-09 09:18:03 | ERROR    | app.services.equipment_config:get_config:37 | 读取设备配置失败，使用默认配置: Expecting value: line 1 column 1 (char 0)
2026-07-09 09:18:03 | ERROR    | app.services.equipment_config:get_config:37 | 读取设备配置失败，使用默认配置: Expecting value: line 1 column 1 (char 0)
2026-07-09 09:18:04 | ERROR    | app.services.equipment_config:get_config:37 | 读取设备配置失败，使用默认配置: Expecting value: line 1 column 1 (char 0)
2026-07-09 09:18:04 | ERROR    | app.services.equipment_config:get_config:37 | 读取设备配置失败，使用默认配置: Expecting value: line 1 column 1 (char 0)
2026-07-09 09:18:04 | ERROR    | app.services.equipment_config:get_config:37 | 读取设备配置失败，使用默认配置: Expecting value: line 1 column 1 (char 0)
2026-07-09 09:18:04 | ERROR    | app.services.equipment_config:get_config:37 | 读取设备配置失败，使用默认配置: Expecting value: line 1 column 1 (char 0)
2026-07-09 09:18:04 | ERROR    | app.services.equipment_config:get_config:37 | 读取设备配置失败，使用默认配置: Expecting value: line 1 column 1 (char 0)
2026-07-09 09:49:43 | ERROR    | app.algorithms.optimizer:_run_pso_with_timeout:277 | 并行 PSO 寻优超时 (>60.0s)
2026-07-09 09:50:51 | ERROR    | app.algorithms.optimizer:_run_pso_with_timeout:277 | 并行 PSO 寻优超时 (>60.0s)
2026-07-09 10:17:34 | ERROR    | app.algorithms.optimizer:_run_pso_with_timeout:277 | 并行 PSO 寻优超时 (>60.0s)
2026-07-09 10:19:11 | ERROR    | app.algorithms.optimizer:_run_pso_with_timeout:277 | 并行 PSO 寻优超时 (>60.0s)
2026-07-09 10:21:14 | ERROR    | app.algorithms.optimizer:_run_pso_with_timeout:277 | 并行 PSO 寻优超时 (>60.0s)
2026-07-09 10:22:58 | ERROR    | app.algorithms.optimizer:_run_pso_with_timeout:277 | 并行 PSO 寻优超时 (>60.0s)
2026-07-09 10:24:50 | ERROR    | app.algorithms.optimizer:_run_pso_with_timeout:277 | 并行 PSO 寻优超时 (>60.0s)
2026-07-09 10:56:02 | ERROR    | app.algorithms.optimizer:_run_pso_with_timeout:277 | 并行 PSO 寻优超时 (>60.0s)
2026-07-09 10:57:07 | ERROR    | app.algorithms.optimizer:_run_pso_with_timeout:277 | 并行 PSO 寻优超时 (>60.0s)
